"Game Title";"Console";"Year";"Genre";"Game_Company";"Type";"Console_Company";"Console Release Year";"Console Disco Year";"Consoles sold (million)";"North America_Sales";"Europe_Sales";"Japan_Sales";"Global_Sales"
"Major League Baseball 2K12";"PS3";2012;"Sports";"Take-Two Interactive";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"Might & Magic: Clash of Heroes";"Nintendo DS";2009;"Role-Playing";"Ubisoft";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Avatar: The Last Airbender - Into the Inferno";"Nintendo Wii";2008;"Adventure";"THQ";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"IHRA Professional Drag Racing 2005";"PS2";2004;"Racing";"Bethesda Softworks";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Mace Griffin: Bounty Hunter";"PS2";2003;"Shooter";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Legacy of Kain: Defiance";"XBOX";2003;"Action";"Eidos Interactive";"Home";"Microsoft";2001;2009;24.0;6.82;1.53;0.05;8.49
"Story of Seasons: Good Friends of the Three Villages";"Nintendo 3DS";2016;"Simulation";"Marvelous Interactive";"Handheld";"Nintendo";2011;2020;75.94;5.17;4.05;4.34;14.35
"Chaotic: Shadow Warriors";"Nintendo Wii";2009;"Action";"Activision";"Home";"Nintendo";2006;2013;101.63;41.49;29.02;3.77;82.74
"Majin and the Forsaken Kingdom";"XBOX 360";2010;"Adventure";"Namco Bandai Games";"Home";"Microsoft";2005;2016;84.0;14.97;4.94;0.24;21.82
"Trivial Pursuit unhinged";"PS2";2004;"Misc";"Atari";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Spider-Man: Shattered Dimensions";"Nintendo DS";2010;"Action";"Activision";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"Aliens versus Predator: Extinction";"PS2";2003;"Strategy";"Electronic Arts";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Plants vs. Zombies";"PS3";2011;"Strategy";"PopCap Games";"Home";"Sony";2006;2017;87.4;7.01;9.27;0.97;21.4
"NBA Live 14";"XBOX One";2013;"Sports";"Electronic Arts";"Home";"Microsoft";2013;2020;58.5;4.52;2.09;0.01;7.3
"Silent Scope 2: Dark Silhouette";"PS2";2001;"Shooter";"Konami Digital Entertainment";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
"Jikkyou Powerful Pro Yakyuu '96 Kaimakuban";"Super Nintendo";1996;"Sports";"Konami Digital Entertainment";"Home";"Nintendo";1990;2003;49.1;12.78;3.75;3.54;20.61
"Tokimeki Memorial Girl's Side 3rd Story";"Nintendo DS";2010;"Adventure";"Konami Digital Entertainment";"Handheld";"Nintendo";2004;2013;154.02;11.38;9.23;6.5;30.01
"NHL Hitz Pro";"PS2";2003;"Sports";"Midway Games";"Home";"Sony";2000;2013;155.0;9.43;0.4;0.41;20.81
